Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Brian Mast,U.S. House,CD-18,2018,1.525,1.391,1.658,Republican,Florida,18
Brian Mast,U.S. House,CD-18,2020,1.644,1.507,1.78,Republican,Florida,18
Brian Mast,U.S. House,CD-21,2022,1.774,1.636,1.915,Republican,Florida,21
Brian Mast,U.S. House,CD-21,2024,1.827,1.679,1.981,Republican,Florida,21
Danniel S. Maio,U.S. House,CD-6,2016,-0.468,-1.014,0.075,Republican,New York,6
Brady Pinero Walkinshaw,U.S. House,CD-7,2016,-2.479,-2.741,-2.229,Democratic,Washington,7
Ed Rankin,U.S. House,CD-32,2016,0.028,-0.271,0.338,Other,Texas,32
Charlene Albarran,U.S. House,CD-2,2016,-0.994,-1.284,-0.707,Democratic,Utah,2
Angela Pendley,U.S. House,CD-3,2016,-1.18,-1.597,-0.779,Democratic,Georgia,3
Drew Ferguson,U.S. House,CD-3,2016,0.778,0.346,1.184,Republican,Georgia,3
Drew Ferguson,U.S. House,CD-3,2018,1.42,1.203,1.64,Republican,Georgia,3
Drew Ferguson,U.S. House,CD-3,2020,1.756,1.566,1.944,Republican,Georgia,3
Drew Ferguson,U.S. House,CD-3,2022,1.841,1.667,2.027,Republican,Georgia,3
Matt Gaetz,U.S. House,CD-1,2016,1.769,1.523,2.014,Republican,Florida,1
Matt Gaetz,U.S. House,CD-1,2018,2.246,2.078,2.412,Republican,Florida,1
Matt Gaetz,U.S. House,CD-1,2020,2.432,2.26,2.601,Republican,Florida,1
Matt Gaetz,U.S. House,CD-1,2022,2.548,2.384,2.707,Republican,Florida,1
Matt Gaetz,U.S. House,CD-1,2024,2.62,2.45,2.797,Republican,Florida,1
Neal Patrick Dunn,U.S. House,CD-2,2016,1.003,0.754,1.242,Republican,Florida,2
Neal Patrick Dunn,U.S. House,CD-2,2018,1.524,1.305,1.74,Republican,Florida,2
Neal Patrick Dunn,U.S. House,CD-2,2020,1.783,1.624,1.953,Republican,Florida,2
Neal Patrick Dunn,U.S. House,CD-2,2022,1.823,1.67,1.983,Republican,Florida,2
